2026-09-17T02:12:18.786229Z DEBUG panoptikon::inferio::ledger: seeded calibration from a stored profile model=clip/ViT-H-14-quickgelu_dfn5b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 local=false fit_is_local=false exact_torch=true confirms=false slope_mb_per_unit=10.331845238095237 samples=13 local_samples=0 max_units_measured=192
2026-09-17T02:12:18.786246Z DEBUG panoptikon::inferio::ledger: admitted a worker to a GPU's ledger model=clip/ViT-H-14-quickgelu_dfn5b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 replica=2 base_mb=Some(2470) base_method="free_delta" reserved_at_load_mb=Some(2038) seeded_from_store=true
2026-09-17T02:12:18.794152Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/ViT-H-14-quickgelu_dfn5b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=2 mb=26 canvas_pixels=none share_mb=28405 room_mb=28405 headroom_mb=28405 external_mb=1385 reserve_mb=347 reserve_rule="capped_default" pre_fit=false ramp_step=4 deflation=0 squeezed=false window_requests=2
2026-09-17T02:12:19.066418Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/ViT-H-14-quickgelu_dfn5b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=63 mb=814 canvas_pixels=none share_mb=28250 room_mb=28250 headroom_mb=28228 external_mb=1509 reserve_mb=378 reserve_rule="capped_default" pre_fit=false ramp_step=4 deflation=0 squeezed=false window_requests=189
2026-09-17T02:12:21.117100Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/ViT-H-14-quickgelu_dfn5b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=63 mb=869 canvas_pixels=none share_mb=28250 room_mb=28250 headroom_mb=27368 external_mb=1509 reserve_mb=378 reserve_rule="capped_default" pre_fit=false ramp_step=4 deflation=0 squeezed=false window_requests=189
2026-09-17T02:12:22.816012Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/ViT-H-14-quickgelu_dfn5b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=63 mb=869 canvas_pixels=none share_mb=28476 room_mb=28476 headroom_mb=27594 external_mb=1509 reserve_mb=152 reserve_rule="capped_default" pre_fit=false ramp_step=4 deflation=0 squeezed=false window_requests=189
2026-09-17T02:12:24.536988Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/ViT-H-14-quickgelu_dfn5b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=63 mb=869 canvas_pixels=none share_mb=28476 room_mb=28476 headroom_mb=27594 external_mb=1509 reserve_mb=152 reserve_rule="capped_default" pre_fit=false ramp_step=4 deflation=0 squeezed=false window_requests=189
2026-09-17T02:12:26.263947Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/ViT-H-14-quickgelu_dfn5b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=127 mb=1751 canvas_pixels=none share_mb=28476 room_mb=28476 headroom_mb=27594 external_mb=1509 reserve_mb=152 reserve_rule="capped_default" pre_fit=false ramp_step=4 deflation=0 squeezed=false window_requests=339
2026-09-17T02:12:29.347275Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/ViT-H-14-quickgelu_dfn5b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=127 mb=2065 canvas_pixels=none share_mb=28476 room_mb=28476 headroom_mb=26394 external_mb=1509 reserve_mb=152 reserve_rule="capped_default" pre_fit=false ramp_step=4 deflation=0 squeezed=false window_requests=322
2026-09-17T02:12:32.573946Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/ViT-H-14-quickgelu_dfn5b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=127 mb=2064 canvas_pixels=none share_mb=28476 room_mb=28476 headroom_mb=26394 external_mb=1509 reserve_mb=152 reserve_rule="capped_default" pre_fit=false ramp_step=4 deflation=0 squeezed=false window_requests=381
2026-09-17T02:12:36.388390Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/ViT-H-14-quickgelu_dfn5b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=127 mb=2064 canvas_pixels=none share_mb=28476 room_mb=28476 headroom_mb=26394 external_mb=1509 reserve_mb=152 reserve_rule="capped_default" pre_fit=false ramp_step=4 deflation=0 squeezed=false window_requests=200
