2026-09-17T02:35:28.863513Z DEBUG panoptikon::inferio::ledger: seeded calibration from a stored profile model=clip/ViT-H-14-quickgelu_dfn5b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 local=false fit_is_local=false exact_torch=true confirms=false slope_mb_per_unit=10.331845238095237 samples=13 local_samples=0 max_units_measured=192
2026-09-17T02:35:28.863531Z DEBUG panoptikon::inferio::ledger: admitted a worker to a GPU's ledger model=clip/ViT-H-14-quickgelu_dfn5b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 replica=2 base_mb=Some(2469) base_method="free_delta" reserved_at_load_mb=Some(2038) seeded_from_store=true
2026-09-17T02:35:28.872695Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/ViT-H-14-quickgelu_dfn5b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1 mb=13 canvas_pixels=none share_mb=4644 room_mb=4644 headroom_mb=4644 external_mb=24470 reserve_mb=1024 reserve_rule="capped_default" pre_fit=false ramp_step=4 deflation=0 squeezed=false window_requests=1
2026-09-17T02:35:29.204168Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/ViT-H-14-quickgelu_dfn5b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=63 mb=814 canvas_pixels=none share_mb=4520 room_mb=4520 headroom_mb=4496 external_mb=24594 reserve_mb=1024 reserve_rule="capped_default" pre_fit=false ramp_step=4 deflation=0 squeezed=false window_requests=189
2026-09-17T02:35:31.690806Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/ViT-H-14-quickgelu_dfn5b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=63 mb=871 canvas_pixels=none share_mb=4520 room_mb=4520 headroom_mb=3636 external_mb=24594 reserve_mb=1024 reserve_rule="capped_default" pre_fit=false ramp_step=4 deflation=0 squeezed=false window_requests=189
2026-09-17T02:35:33.579827Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/ViT-H-14-quickgelu_dfn5b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=63 mb=871 canvas_pixels=none share_mb=4520 room_mb=4520 headroom_mb=3636 external_mb=24594 reserve_mb=1024 reserve_rule="capped_default" pre_fit=false ramp_step=4 deflation=0 squeezed=false window_requests=189
2026-09-17T02:35:35.387174Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/ViT-H-14-quickgelu_dfn5b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=63 mb=871 canvas_pixels=none share_mb=4520 room_mb=4520 headroom_mb=3636 external_mb=24594 reserve_mb=1024 reserve_rule="capped_default" pre_fit=false ramp_step=4 deflation=0 squeezed=false window_requests=189
2026-09-17T02:35:37.225294Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/ViT-H-14-quickgelu_dfn5b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=127 mb=1755 canvas_pixels=none share_mb=4520 room_mb=4520 headroom_mb=3636 external_mb=24594 reserve_mb=1024 reserve_rule="capped_default" pre_fit=false ramp_step=4 deflation=0 squeezed=false window_requests=378
2026-09-17T02:35:41.003470Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/ViT-H-14-quickgelu_dfn5b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=127 mb=2072 canvas_pixels=none share_mb=4520 room_mb=4520 headroom_mb=2436 external_mb=24594 reserve_mb=1024 reserve_rule="capped_default" pre_fit=false ramp_step=4 deflation=0 squeezed=false window_requests=289
2026-09-17T02:35:43.778554Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/ViT-H-14-quickgelu_dfn5b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=127 mb=2072 canvas_pixels=none share_mb=4520 room_mb=4520 headroom_mb=2436 external_mb=24594 reserve_mb=1024 reserve_rule="capped_default" pre_fit=false ramp_step=4 deflation=0 squeezed=false window_requests=381
2026-09-17T02:35:47.538288Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/ViT-H-14-quickgelu_dfn5b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=127 mb=2072 canvas_pixels=none share_mb=4520 room_mb=4520 headroom_mb=2436 external_mb=24594 reserve_mb=1024 reserve_rule="capped_default" pre_fit=false ramp_step=4 deflation=0 squeezed=false window_requests=195
