2026-09-17T02:20:11.766070Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=doctr/db_resnet50_crnn_vgg16_bn gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=128 mb=1134 canvas_pixels=none share_mb=30715 room_mb=30715 headroom_mb=29159 external_mb=1046 reserve_mb=109 reserve_rule="capped_default" pre_fit=false ramp_step=4 deflation=0 squeezed=false window_requests=1
2026-09-17T02:20:15.565079Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=doctr/db_resnet50_crnn_vgg16_bn gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=128 mb=1134 canvas_pixels=none share_mb=30715 room_mb=30715 headroom_mb=29159 external_mb=1046 reserve_mb=109 reserve_rule="capped_default" pre_fit=false ramp_step=4 deflation=0 squeezed=false window_requests=7
2026-09-17T02:20:24.118503Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=doctr/db_resnet50_crnn_vgg16_bn gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=128 mb=1134 canvas_pixels=none share_mb=30716 room_mb=30716 headroom_mb=29160 external_mb=1046 reserve_mb=108 reserve_rule="capped_default" pre_fit=false ramp_step=4 deflation=0 squeezed=false window_requests=1
2026-09-17T02:20:27.656138Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=doctr/db_resnet50_crnn_vgg16_bn gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=128 mb=1134 canvas_pixels=none share_mb=30716 room_mb=30716 headroom_mb=29160 external_mb=1046 reserve_mb=108 reserve_rule="capped_default" pre_fit=false ramp_step=4 deflation=0 squeezed=false window_requests=7
2026-09-17T02:20:35.158280Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=doctr/db_resnet50_crnn_vgg16_bn gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=128 mb=1133 canvas_pixels=none share_mb=30716 room_mb=30716 headroom_mb=29160 external_mb=1046 reserve_mb=108 reserve_rule="capped_default" pre_fit=false ramp_step=4 deflation=0 squeezed=false window_requests=1
2026-09-17T02:20:39.310321Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=doctr/db_resnet50_crnn_vgg16_bn gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=128 mb=1133 canvas_pixels=none share_mb=30716 room_mb=30716 headroom_mb=29160 external_mb=1046 reserve_mb=108 reserve_rule="capped_default" pre_fit=false ramp_step=4 deflation=0 squeezed=false window_requests=7
2026-09-17T02:20:47.744643Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=doctr/db_resnet50_crnn_vgg16_bn gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=128 mb=1134 canvas_pixels=none share_mb=30715 room_mb=30715 headroom_mb=29159 external_mb=1046 reserve_mb=109 reserve_rule="capped_default" pre_fit=false ramp_step=4 deflation=0 squeezed=false window_requests=1
2026-09-17T02:20:51.650855Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=doctr/db_resnet50_crnn_vgg16_bn gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=128 mb=1134 canvas_pixels=none share_mb=30715 room_mb=30715 headroom_mb=29159 external_mb=1046 reserve_mb=109 reserve_rule="capped_default" pre_fit=false ramp_step=4 deflation=0 squeezed=false window_requests=7
2026-09-17T02:20:59.899111Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=doctr/db_resnet50_crnn_vgg16_bn gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=128 mb=1133 canvas_pixels=none share_mb=30717 room_mb=30717 headroom_mb=29161 external_mb=1046 reserve_mb=107 reserve_rule="capped_default" pre_fit=false ramp_step=4 deflation=0 squeezed=false window_requests=1
2026-09-17T02:21:03.689923Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=doctr/db_resnet50_crnn_vgg16_bn gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=128 mb=1133 canvas_pixels=none share_mb=30716 room_mb=30716 headroom_mb=29160 external_mb=1046 reserve_mb=108 reserve_rule="capped_default" pre_fit=false ramp_step=4 deflation=0 squeezed=false window_requests=7
